domain,org_type,org_name,source,source_ref,is_active,notes
upplandsvasby.se,kommun,Upplands Väsby kommun,skr_kommunlista,http://www.upplandsvasby.se/,true,
upplands-bro.se,kommun,Upplands-Bro kommun,skr_kommunlista,http://www.upplands-bro.se/,true,
uppsala.se,kommun,Uppsala kommun,skr_kommunlista,https://www.uppsala.se/,true,
uppvidinge.se,kommun,Uppvidinge kommun,skr_kommunlista,http://www.uppvidinge.se/,true,
vadstena.se,kommun,Vadstena kommun,skr_kommunlista,http://www.vadstena.se/,true,
vaggeryd.se,kommun,Vaggeryd kommun,skr_kommunlista,http://www.vaggeryd.se/,true,
valdemarsvik.se,kommun,Valdemarsvik kommun,skr_kommunlista,http://www.valdemarsvik.se/,true,
vallentuna.se,kommun,Vallentuna kommun,skr_kommunlista,https://www.vallentuna.se/,true,
vansbro.se,kommun,Vansbro kommun,skr_kommunlista,http://www.vansbro.se/,true,
vara.se,kommun,Vara kommun,skr_kommunlista,http://www.vara.se/,true,
varberg.se,kommun,Varberg kommun,skr_kommunlista,http://www.varberg.se/,true,
vaxholm.se,kommun,Vaxholm kommun,skr_kommunlista,http://www.vaxholm.se/,true,
vellinge.se,kommun,Vellinge kommun,skr_kommunlista,http://www.vellinge.se/,true,
vetlanda.se,kommun,Vetlanda kommun,skr_kommunlista,http://www.vetlanda.se/,true,
vilhelmina.se,kommun,Vilhelmina kommun,skr_kommunlista,http://www.vilhelmina.se/,true,
vimmerby.se,kommun,Vimmerby kommun,skr_kommunlista,http://www.vimmerby.se/,true,
vindeln.se,kommun,Vindeln kommun,skr_kommunlista,http://www.vindeln.se/,true,
vingaker.se,kommun,Vingåker kommun,skr_kommunlista,http://www.vingaker.se/,true,
vanersborg.se,kommun,Vänersborg kommun,skr_kommunlista,http://www.vanersborg.se/,true,
vannas.se,kommun,Vännäs kommun,skr_kommunlista,http://www.vannas.se/,true,
varmdo.se,kommun,Värmdö kommun,skr_kommunlista,http://www.varmdo.se/,true,
varnamo.se,kommun,Värnamo kommun,skr_kommunlista,http://www.varnamo.se/,true,
vastervik.se,kommun,Västervik kommun,skr_kommunlista,http://www.vastervik.se/,true,
vasteras.se,kommun,Västerås kommun,skr_kommunlista,http://www.vasteras.se/,true,
vaxjo.se,kommun,Växjö kommun,skr_kommunlista,http://www.vaxjo.se/,true,
vargarda.se,kommun,Vårgårda kommun,skr_kommunlista,http://www.vargarda.se/,true,
ydre.se,kommun,Ydre kommun,skr_kommunlista,http://www.ydre.se/,true,
ystad.se,kommun,Ystad kommun,skr_kommunlista,http://www.ystad.se/,true,
almhult.se,kommun,Älmhult kommun,skr_kommunlista,http://www.almhult.se/,true,
alvdalen.se,kommun,Älvdalen kommun,skr_kommunlista,http://www.alvdalen.se/,true,
alvkarleby.se,kommun,Älvkarleby kommun,skr_kommunlista,http://www.alvkarleby.se/,true,
alvsbyn.se,kommun,Älvsbyn kommun,skr_kommunlista,http://www.alvsbyn.se/,true,
engelholm.se,kommun,Ängelholm kommun,skr_kommunlista,http://www.engelholm.se/,true,
amal.se,kommun,Åmål kommun,skr_kommunlista,http://www.amal.se/,true,
ange.se,kommun,Ånge kommun,skr_kommunlista,http://www.ange.se/,true,
are.se,kommun,Åre kommun,skr_kommunlista,https://www.are.se/,true,
arjang.se,kommun,Årjäng kommun,skr_kommunlista,http://www.arjang.se/,true,
asele.se,kommun,Åsele kommun,skr_kommunlista,http://www.asele.se/,true,
astorp.se,kommun,Åstorp kommun,skr_kommunlista,http://www.astorp.se/,true,
atvidaberg.se,kommun,Åtvidaberg kommun,skr_kommunlista,http://www.atvidaberg.se/,true,
ockero.se,kommun,Öckerö kommun,skr_kommunlista,http://www.ockero.se/,true,
odeshog.se,kommun,Ödeshög kommun,skr_kommunlista,http://www.odeshog.se/,true,
orebro.se,kommun,Örebro kommun,skr_kommunlista,http://www.orebro.se/,true,
orkelljunga.se,kommun,Örkelljunga kommun,skr_kommunlista,http://www.orkelljunga.se/,true,
ornskoldsvik.se,kommun,Örnsköldsvik kommun,skr_kommunlista,http://www.ornskoldsvik.se/,true,
ostersund.se,kommun,Östersund kommun,skr_kommunlista,http://www.ostersund.se/,true,
osteraker.se,kommun,Österåker kommun,skr_kommunlista,https://www.osteraker.se/,true,
osthammar.se,kommun,Östhammar kommun,skr_kommunlista,http://www.osthammar.se/,true,
ostragoinge.se,kommun,Östra Göinge kommun,skr_kommunlista,http://www.ostragoinge.se/,true,
overkalix.se,kommun,Överkalix kommun,skr_kommunlista,http://www.overkalix.se/,true,
overtornea.se,kommun,Övertorneå kommun,skr_kommunlista,http://www.overtornea.se/,true,
