cid,hazard_key,display_name,compound_url,candidate_index,candidate_url,candidate_source,likely_sds
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,2,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,3,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,4,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1012.pdf,safety,false
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,5,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,6,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
338,C7H6O3,Salicylsyra,https://pubchem.ncbi.nlm.nih.gov/compound/338,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
702,C2H6O,Etanol,https://pubchem.ncbi.nlm.nih.gov/compound/702,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
702,C2H6O,Etanol,https://pubchem.ncbi.nlm.nih.gov/compound/702,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
702,C2H6O,Etanol,https://pubchem.ncbi.nlm.nih.gov/compound/702,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
702,C2H6O,Etanol,https://pubchem.ncbi.nlm.nih.gov/compound/702,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0844.pdf,safety,false
702,C2H6O,Etanol,https://pubchem.ncbi.nlm.nih.gov/compound/702,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
702,C2H6O,Etanol,https://pubchem.ncbi.nlm.nih.gov/compound/702,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
753,C3H8O3,Propantriol,https://pubchem.ncbi.nlm.nih.gov/compound/753,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
